
3	10002	21709	1134.36	350	120	0	Open  	;	1	-	1
4	10004	10002	65.93	200	100	0	Closed	;	0	-	0
5	10004	10003	180.9	75	100	0	Open  	;	1	-	1
6	10006	10004	61.86	350	100	0	Open  	;	1	-	0
7	10008	10005	73.02	75	100	0	Open  	;	1	-	0
8	10007	10006	33.45	350	75	0	Open  	;	1	-	0
9	10011	10007	73.04	350	100	0	Open  	;	1	-	0
10	10009	10008	154.76	75	100	0	Open  	;	1	-	0
11	10008	10010	59.13	75	100	0	Open  	;	1	-	1
12	10012	10009	51.63	150	75	0	Open  	;	0	-	1
13	10009	10011	50.92	100	75	0	Open  	;	1	-	0
14	10012	10011	95.27	350	100	0	Open  	;	1	-	0
15	10014	10012	23.4	350	75	0	Open  	;	1	-	0
16	10016	10013	80.09	75	100	0	Open  	;	1	-	1
17	10016	10014	108.08	350	75	0	Open  	;	1	-	0
18	10014	10015	28.2	75	100	0	Open  	;	1	-	0
19	10018	10016	26.7	350	75	0	Open  	;	0	-	0
20	10021	10017	137.58	75	75	0	Open  	;	0	-	1
21	10017	10023	71.08	75	75	0	Open  	;	1	-	0
22	10017	10019	30.97	75	75	0	Open  	;	1	-	0
23	10024	10018	93.78	350	100	0	Open  	;	0	-	0
24	10018	10020	32.55	75	100	0	Open  	;	0	-	0
25	10019	10025	89	75	100	0	Open  	;	1	-	0
26	10019	10021	44.76	75	75	0	Open  	;	0	-	0
27	10034	10021	190.49	75	75	0	Open  	;	0	-	0
28	10023	10022	42.95	75	100	0	Open  	;	1	-	1
29	10023	10028	72.73	75	75	0	Open  	;	1	-	1
30	10043	10024	280.58	350	75	0	Open  	;	0	-	0
31	10024	10027	95.86	75	100	0	Open  	;	1	-	1
32	10036	10026	120.45	75	100	0	Open  	;	0	-	0
33	10037	10029	95.93	75	100	0	Open  	;	0	-	0
34	10033	10030	66.49	75	100	0	Open  	;	0	-	0
35	10031	10047	78.42	75	75	0	Open  	;	1	-	1
36	10034	10031	27.95	75	75	0	Open  	;	1	-	0
37	10033	10032	32.25	75	100	0	Open  	;	1	-	0
38	10040	10033	74.92	75	100	0	Open  	;	0	-	0
39	10033	10041	63.2	75	100	0	Open  	;	1	-	1
40	10049	10034	87.2	75	75	0	Open  	;	1	-	0
41	10040	10035	12.47	75	75	0	Open  	;	1	-	0
42	10058	10036	174.51	75	75	0	Open  	;	1	-	0
43	10036	10067	196.42	75	100	0	Open  	;	1	-	1
44	10053	10037	92.29	75	75	0	Open  	;	1	-	0
45	10042	10038	22.77	75	100	0	Open  	;	0	-	0
46	10049	10039	109.06	75	75	0	Open  	;	1	-	0
47	10058	10040	218.18	75	75	0	Open  	;	1	-	0
48	10048	10042	41.18	75	100	0	Open  	;	1	-	0
49	10042	10044	16.19	75	100	0	Open  	;	0	-	1
50	10043	10070	182.48	350	120	0	Open  	;	1	-	0
51	10076	10043	234.6	250	100	0	Open  	;	1	-	0
52	10078	10045	697.33	75	100	0	Open  	;	0	-	0
53	10048	10046	23.94	75	100	0	Open  	;	1	-	0
54	10047	10052	42.01	75	75	0	Open  	;	0	-	0
55	10049	10047	37	75	75	0	Open  	;	1	-	0
56	10053	10048	47.84	75	100	0	Open  	;	1	-	0
57	10060	10049	74.01	100	75	0	Open  	;	1	-	1
58	10055	10050	70.48	75	75	0	Open  	;	0	-	0
59	10057	10050	39.63	75	75	0	Open  	;	1	-	0
